Polymer_Family,Base_SMILES,Candidate_SMILES,Tanimoto_Similarity,Predicted_Tg_degC,Predicted_Dk
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4cccc(Cl)c4C3=O)cc2)cc1,0.7059,516.93,3.4733
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4cccc(C(F)(F)F)c4C3=O)cc2)cc1,0.6667,511.53,3.4653
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4cccc(F)c4C3=O)cc2)cc1,0.7059,516.41,3.4737
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4ccc(C(F)(F)F)c(C(F)(F)F)c4C3=O)cc2)cc1,0.6,515.04,3.4343
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4ccc(F)c(Cl)c4C3=O)cc2)cc1,0.6316,517.4,3.4775
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4ccc(F)c(C(F)(F)F)c4C3=O)cc2)cc1,0.6,511.53,3.4482
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4ccc(Cl)c(Cl)c4C3=O)cc2)cc1,0.6667,517.36,3.4701
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4ccc(C(F)(F)F)c(F)c4C3=O)cc2)cc1,0.6,511.53,3.4482
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4cc(F)c(Cl)c(Cl)c4C3=O)cc2)cc1,0.6316,517.36,3.4522
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4cc(Cl)c(Cl)c(Cl)c4C3=O)cc2)cc1,0.6486,517.36,3.4463
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,Cc1c(Cl)c(Cl)c(Cl)c2c1C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,0.6316,517.36,3.4399
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,Cc1ccc2c(c1Cl)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,0.6316,517.36,3.4594
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4ccc(F)c(F)c4C3=O)cc2)cc1,0.6667,517.22,3.476
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4cc(Cl)c(F)c(Cl)c4C3=O)cc2)cc1,0.6,517.36,3.4522
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,Cc1ccc2c(c1F)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,0.6316,517.4,3.4652
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,Cc1cccc2c1C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,0.7059,516.93,3.4652
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4c(F)c(Cl)c(F)c(Cl)c4C3=O)cc2)cc1,0.6316,517.36,3.4508
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,Cc1c(F)ccc2c1C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,0.6316,517.4,3.4652
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4c(Cl)c(F)c(Cl)c(Cl)c4C3=O)cc2)cc1,0.6486,517.36,3.4463
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4cc(F)c(F)c(F)c4C3=O)cc2)cc1,0.6486,517.5,3.4797
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,Cc1c(Cl)cc2c(c1Cl)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,0.6,517.36,3.4436
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,Cc1cc2c(c(F)c1C)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,0.6,517.36,3.4513
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4cc(Cl)c(F)c(F)c4C3=O)cc2)cc1,0.6154,517.36,3.4798
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4c(Cl)c(Cl)c(Cl)c(Cl)c4C3=O)cc2)cc1,0.75,520.86,3.4463
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4c(F)c(F)c(F)c(Cl)c4C3=O)cc2)cc1,0.6316,517.36,3.4703
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,Cc1c(Cl)c(Cl)c2c(c1Cl)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,0.6486,517.36,3.4399
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4c(F)c(F)c(Cl)c(Cl)c4C3=O)cc2)cc1,0.6316,517.36,3.4508
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,Cc1c(F)c(F)c(F)c2c1C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,0.6316,517.36,3.4676
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,Cc1cc2c(c(Cl)c1C)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,0.6,517.36,3.4371
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,Cc1ccc2c(c1C)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,0.6667,517.4,3.4513
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4ccc(Cl)c(F)c4C3=O)cc2)cc1,0.6316,517.4,3.4775
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,Cc1cc2c(c(C)c1C)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,0.6486,517.36,3.4482
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,Cc1c(C)c(Cl)c2c(c1C)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,0.6316,517.36,3.4334
Polyimide,O=C1c2ccccc2C(=O)N1c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3,Cc1c(F)c(F)cc2c1C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,0.6,517.4,3.4713
