MolWt,HeavyAtomMolWt,ExactMolWt,NumHeavyAtoms,NumRotatableBonds,NumRings,NumAromaticRings,NumAliphaticRings,RingCount,FractionCSP3,NumHDonors,NumHAcceptors,TPSA,MolLogP,MolMR,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,SMR_VSA1,SMR_VSA2,SMR_VSA3,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,NumValenceElectrons,NumRadicalElectrons,fr_C_O,fr_NH0,fr_NH1,fr_ArN,fr_Ar_COO,fr_ether,fr_ketone,fr_imide,fr_amide,HallKierAlpha,Kappa1,Kappa2,polyBERT_dim_01,polyBERT_dim_02,polyBERT_dim_03,polyBERT_dim_04,polyBERT_dim_05,polyBERT_dim_06,polyBERT_dim_07,polyBERT_dim_08,polyBERT_dim_09,polyBERT_dim_10,polyBERT_dim_11,polyBERT_dim_12,polyBERT_dim_13,polyBERT_dim_14,polyBERT_dim_15,polyBERT_dim_16,polyBERT_dim_17,polyBERT_dim_18,polyBERT_dim_19,polyBERT_dim_20,polyBERT_dim_21,polyBERT_dim_22,polyBERT_dim_23,polyBERT_dim_24,polyBERT_dim_25,polyBERT_dim_26,polyBERT_dim_27,polyBERT_dim_28,polyBERT_dim_29,polyBERT_dim_30,polyBERT_dim_31,polyBERT_dim_32,polyBERT_dim_33,polyBERT_dim_34,polyBERT_dim_35,polyBERT_dim_36,polyBERT_dim_37,polyBERT_dim_38,polyBERT_dim_39,polyBERT_dim_40,DegreeOfCrystallinity,CrystallinePhaseContent,AmorphousPhaseContent,FreeVolumeFraction,ChainRigidityIndex,SegmentalMobility,ThermalExpansionCoeff,HeatCapacity_Cp,ThermalDiffusivity,GlassyModulus,DielectricPolarizability,ElectronicPolarizability,IonicPolarizability,OrientationalPolarizability,DipoleMomentRepeat,CurieWeissConstant,CrosslinkingDensity,EntanglementMolWt,ContourLengthPerUnit,PersistenceLength,CharacteristicRatio,ChainFlexibilityParam,Mw_kDa,Mn_kDa,PolyDisersityIndex,ZAverageMolWt,ViscosityAverageMolWt,NumberAverageDPn,LamellaeThickness_nm,SpheruliteRadius_um,CrystalThickness_nm,TieChainsPerArea,InterfacialThickness_nm,MicrostructureOrder,PermittivityRealPart,PermittivityImaginaryPart,TanDeltaDielectric,YoungModulus_GPa,TensileStrength_MPa,ElongationBreak_pct,morgan_fp_00,morgan_fp_01,morgan_fp_02,morgan_fp_03,morgan_fp_04,morgan_fp_05,morgan_fp_06,morgan_fp_07,morgan_fp_08,morgan_fp_09,morgan_fp_10,morgan_fp_11,morgan_fp_12,morgan_fp_13,morgan_fp_14,morgan_fp_15,morgan_fp_16,morgan_fp_17,morgan_fp_18,morgan_fp_19,morgan_fp_20,morgan_fp_21,morgan_fp_22,morgan_fp_23,morgan_fp_24,morgan_fp_25,morgan_fp_26,morgan_fp_27,morgan_fp_28,morgan_fp_29,morgan_fp_30,morgan_fp_31,morgan_fp_32,morgan_fp_33,morgan_fp_34,morgan_fp_35,morgan_fp_36,morgan_fp_37,morgan_fp_38,morgan_fp_39,morgan_fp_40,morgan_fp_41,morgan_fp_42,morgan_fp_43,morgan_fp_44,morgan_fp_45,morgan_fp_46,morgan_fp_47,morgan_fp_48,morgan_fp_49,morgan_fp_50,morgan_fp_51,morgan_fp_52,morgan_fp_53,morgan_fp_54,morgan_fp_55,morgan_fp_56,morgan_fp_57,morgan_fp_58,morgan_fp_59,morgan_fp_60,morgan_fp_61,morgan_fp_62,morgan_fp_63,Tg_degC,Dk_1GHz
460.445000,444.317000,460.105922,35.000000,4.000000,6.000000,4.000000,2.000000,6.000000,0.000000,0.000000,5.000000,83.990000,5.080100,128.122000,199.330093,4.736863,19.178149,9.799819,0.000000,23.915012,0.000000,0.000000,14.536682,23.628719,0.000000,168.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,4.000000,-5.040000,20.558720,7.775512,1.047165,0.686148,0.580169,0.726320,0.536840,0.814536,0.685008,1.036828,1.020313,0.598710,0.602971,-0.027231,0.463096,0.576534,1.069823,0.656284,0.454558,0.903464,1.009898,0.704196,0.262048,0.120407,0.291940,1.140192,0.516028,-0.271936,0.392648,0.683408,0.565340,0.496356,-0.243370,0.724826,-0.266490,0.293273,-0.548759,0.729819,0.427592,0.426901,0.173718,0.504839,0.289940,0.301992,0.710060,0.116830,0.807902,0.215670,0.000033,1.092760,0.000000,3.426537,26.178820,22.915658,4.056911,2.686885,3.684450,346.095862,0.008378,6165.459787,1.400866,12.188442,9.402655,0.259349,71.984876,37.084515,2.546730,101.946443,65.222267,205.459878,9.151322,2.907473,11.512759,181505454377817.125000,4.561475,0.518263,3.521841,0.082522,0.020222,2.975852,209.365552,46.702828,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,514.703763,3.110068
474.472000,456.328000,474.121572,36.000000,4.000000,6.000000,4.000000,2.000000,6.000000,0.034483,0.000000,5.000000,83.990000,5.388520,132.859000,205.695035,4.736863,19.178149,9.799819,0.000000,23.915012,0.000000,0.000000,14.536682,23.628719,0.000000,174.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,4.000000,-5.040000,21.490435,8.023863,0.790755,1.343060,0.423255,0.728540,0.473122,0.848241,0.918155,0.404573,0.351317,0.614578,0.548954,0.561645,0.433408,0.430031,0.369675,0.647222,0.207408,0.568218,1.220482,0.856218,0.328855,0.247885,0.340610,0.829890,0.443321,0.471127,0.790419,0.888101,-0.125734,0.012553,0.715005,0.195951,0.056085,0.239921,0.501530,-0.146282,0.083654,0.330272,-0.020165,-0.193069,0.297241,0.360920,0.702759,0.118484,0.756732,0.174443,0.000039,1.097383,0.000000,3.426116,25.522956,19.446110,3.710487,2.439859,4.730866,336.519520,0.007239,6010.626495,1.501239,10.484324,7.693741,0.243702,72.578842,47.631148,1.903732,118.881238,78.981332,151.233390,9.451765,4.974161,20.019503,210794135659038.468750,4.782189,0.692652,3.414169,0.085162,0.023250,2.781036,156.218899,33.818006,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,489.945307,3.028115
474.472000,456.328000,474.121572,36.000000,4.000000,6.000000,4.000000,2.000000,6.000000,0.034483,0.000000,5.000000,83.990000,5.388520,132.859000,205.695035,4.736863,19.178149,9.799819,0.000000,23.915012,0.000000,0.000000,14.536682,23.628719,0.000000,174.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,4.000000,-5.040000,21.490435,8.023863,0.536708,0.938486,1.176755,0.277565,0.503259,0.896127,0.516153,0.663779,0.369369,1.354632,0.858236,0.030248,-0.338371,0.272053,0.710603,0.233435,0.275426,0.473146,0.690681,0.610827,0.611186,0.799252,0.119770,0.363175,0.709418,0.413890,0.793062,0.317722,1.005735,0.187161,-0.368010,-0.128795,0.680103,0.632245,0.700078,0.552696,0.349662,0.228361,0.076850,0.792469,0.486040,0.396968,0.513960,0.090384,0.822257,0.175627,0.000031,0.946718,0.000000,3.385615,29.482362,20.955083,3.780870,2.644641,4.735721,324.575161,0.012232,5285.142043,1.511667,12.812681,8.094923,0.243415,85.055046,42.775570,1.828231,120.076388,60.241134,234.269476,14.464377,3.532343,20.060781,230658027755473.843750,4.649997,0.584093,3.271549,0.075441,0.026422,3.306336,223.212787,34.647734,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,548.865093,3.884719
478.435000,463.315000,478.096500,36.000000,4.000000,6.000000,4.000000,2.000000,6.000000,0.000000,0.000000,5.000000,83.990000,5.219200,128.080000,203.495628,4.736863,19.178149,14.190235,0.000000,28.305427,0.000000,0.000000,14.536682,23.628719,0.000000,174.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,4.000000,-5.110000,21.425098,7.986432,0.147826,0.641054,0.181241,0.767650,0.242539,0.835896,0.363512,0.934284,0.733443,0.570145,0.470312,0.581589,0.375967,0.588508,0.378154,0.797993,0.101782,0.704692,0.713655,0.457538,0.787222,0.264337,0.457083,0.483914,0.434703,0.359920,0.336009,0.875098,0.476449,0.347210,0.231994,0.302355,-0.129004,0.704458,0.175686,0.108896,-0.579651,-0.122435,0.346055,0.324768,0.261303,0.398625,0.738697,0.143359,0.710147,0.190924,0.000034,1.111184,0.000000,3.315390,25.510008,23.424892,4.316288,3.222592,4.593725,299.464163,0.006964,6567.182664,1.386969,8.782031,8.456991,0.177333,95.069026,38.934092,2.130325,119.872168,75.554227,264.321300,11.859649,4.669772,15.164061,139066811099034.640625,5.155709,0.571761,3.498175,0.075447,0.026379,3.029011,182.480929,38.237508,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,458.191458,2.845808
476.444000,460.316000,476.100836,36.000000,4.000000,6.000000,4.000000,2.000000,6.000000,0.000000,1.000000,6.000000,104.220000,4.785700,129.786800,204.124327,9.843390,19.178149,9.799819,0.000000,29.021539,0.000000,0.000000,14.536682,28.735246,0.000000,174.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,4.000000,-5.240000,21.303804,7.917082,0.207982,0.916857,1.232238,0.686232,1.006991,0.314623,0.451107,0.845365,0.547351,0.818810,0.399515,0.669989,0.531783,0.546634,0.350269,0.701966,0.563056,0.629972,0.624936,0.780037,1.021743,0.708820,-0.120381,0.051102,0.346965,0.438833,0.108381,0.360944,0.237537,0.330220,0.521859,-0.586104,0.048109,0.092421,0.129361,-0.000066,0.091033,0.000576,0.406776,-0.010117,0.352031,0.378684,0.647969,0.098293,0.880453,0.122060,0.000030,0.980008,0.000000,3.630617,27.128822,23.804697,4.218883,2.095670,4.902089,311.927102,0.006052,5319.143357,1.489165,12.172530,7.501553,0.262928,98.671899,42.928274,1.851934,131.995994,86.459885,204.600184,14.015301,2.443766,18.077844,190860530605995.000000,4.800311,0.427566,3.821713,0.059274,0.022698,3.022008,196.145937,41.807651,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,539.395282,3.451927
496.425000,482.313000,496.087078,37.000000,4.000000,6.000000,4.000000,2.000000,6.000000,0.000000,0.000000,5.000000,83.990000,5.358300,128.038000,207.661164,4.736863,19.178149,14.190235,4.390415,32.695842,0.000000,0.000000,14.536682,23.628719,0.000000,180.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,4.000000,-5.180000,22.294507,8.197695,0.396476,0.755954,0.902518,0.347408,1.084047,0.329710,0.699278,0.694918,0.449791,0.855234,0.580813,1.045340,0.783146,0.740308,0.960293,0.846671,0.857026,0.899987,0.872538,0.505004,0.939287,0.812342,0.448631,0.440862,0.569321,0.827757,0.622105,0.533348,0.190951,0.321483,0.454003,-0.376208,0.311403,0.149726,-0.082426,0.219049,0.034118,0.475591,0.411937,0.043801,0.205466,0.435426,0.794534,0.148186,0.786969,0.162626,0.000026,1.049960,0.000000,3.512946,32.633879,20.480500,3.330275,3.320197,4.838950,335.730558,0.008597,5115.948912,1.369979,14.487559,7.911042,0.227557,65.773701,31.769542,2.429639,138.123930,56.068485,227.600741,11.347204,4.540870,21.023753,205516025473046.281250,4.619049,0.527654,3.452573,0.090943,0.023923,2.823705,178.136341,27.405227,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,471.494461,3.180362
488.499000,468.339000,488.137222,37.000000,4.000000,6.000000,4.000000,2.000000,6.000000,0.066667,0.000000,5.000000,83.990000,5.696940,137.596000,212.059977,4.736863,19.178149,9.799819,0.000000,23.915012,0.000000,0.000000,14.536682,23.628719,0.000000,180.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,4.000000,-5.040000,22.425635,8.272329,0.828038,0.413776,0.697349,0.213502,0.734332,0.645639,0.011605,-0.118240,0.582808,0.118773,0.434891,0.983610,0.119257,0.288211,0.789233,-0.233645,0.482500,0.520916,0.518176,0.644100,-0.000706,0.423966,0.362706,-0.042548,0.739601,0.673676,0.410594,0.510878,0.412327,0.279997,0.068737,-0.345427,0.035399,0.239103,0.015869,0.092529,0.579469,-0.506780,-0.393919,0.091531,0.352763,0.365595,0.647237,0.109655,0.848197,0.147006,0.000035,1.099189,0.000000,3.560484,28.856845,22.648877,3.805931,2.245831,5.276909,293.818428,0.008540,5652.197148,1.532765,13.780718,7.264285,0.245750,79.479091,41.849727,1.897093,129.625803,80.832995,202.939416,15.947669,3.256077,17.688413,199513354369947.468750,5.477492,0.505671,3.492005,0.086148,0.027055,2.899390,189.404124,27.889737,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,521.341447,3.438501
492.462000,475.326000,492.112150,37.000000,4.000000,6.000000,4.000000,2.000000,6.000000,0.034483,0.000000,5.000000,83.990000,5.527620,132.817000,209.860570,4.736863,19.178149,14.190235,0.000000,28.305427,0.000000,0.000000,14.536682,23.628719,0.000000,180.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,4.000000,-5.110000,22.360063,8.234982,0.479901,0.906240,0.669220,0.624149,0.674347,0.382465,0.382804,0.645509,0.678402,0.801514,0.979756,0.575404,0.525207,1.100429,0.871672,0.541397,0.945790,0.522268,0.393382,0.460566,0.209485,0.605906,0.472828,0.598215,0.396669,0.387237,0.451737,1.026846,0.387237,0.113109,-0.225088,0.342395,-0.032435,-0.283195,-0.443341,-0.076739,0.193613,0.232329,0.620444,0.231118,0.271638,0.357384,0.728362,0.103542,0.811955,0.148907,0.000033,1.031871,0.000000,3.821304,29.073997,20.792733,4.432726,2.818353,4.863507,308.082364,0.010706,6422.873211,1.334286,12.136190,7.924224,0.207349,104.685361,33.482005,2.344902,117.958068,71.207396,240.147337,9.462637,2.936447,17.000456,195726717430885.062500,3.587420,0.561939,3.913924,0.076877,0.022792,3.088490,186.130438,35.927651,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,517.436052,3.381328
476.444000,460.316000,476.100836,36.000000,4.000000,6.000000,4.000000,2.000000,6.000000,0.000000,1.000000,6.000000,104.220000,4.785700,129.786800,204.124327,9.843390,19.178149,9.799819,0.000000,29.021539,0.000000,0.000000,14.536682,28.735246,0.000000,174.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,4.000000,-5.240000,21.303804,7.917082,0.998862,0.488310,0.499613,0.400092,0.685937,0.932276,0.825906,0.916048,0.279405,0.970237,0.336256,0.383874,0.065147,-0.028697,0.173602,0.445987,0.549210,0.452351,0.296639,0.365183,0.208746,0.953333,0.236371,0.747528,0.930788,-0.118202,1.045794,0.533755,0.469880,0.765299,-0.019989,-0.368147,-0.441601,0.151771,-0.302919,-0.007340,-0.260465,0.088558,0.030100,0.177725,0.427941,0.363866,0.572059,0.135578,0.752579,0.190482,0.000028,1.127017,0.000000,3.221156,28.927824,20.992074,4.029622,2.729558,3.915849,296.745971,0.007194,5545.622585,1.550534,13.846694,8.641658,0.204187,68.467595,52.770456,2.311140,132.215261,68.340573,206.450832,11.324491,4.567510,10.485998,183382415982229.656250,4.343344,0.584108,3.980955,0.080792,0.028121,3.133296,206.034716,40.188882,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,478.328711,3.409566
476.444000,460.316000,476.100836,36.000000,4.000000,6.000000,4.000000,2.000000,6.000000,0.000000,1.000000,6.000000,104.220000,4.785700,129.786800,204.124327,9.843390,19.178149,9.799819,0.000000,29.021539,0.000000,0.000000,14.536682,28.735246,0.000000,174.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,4.000000,-5.240000,21.303804,7.917082,0.336830,-0.316031,1.149719,0.867014,0.626322,0.730831,0.788084,0.842156,0.625158,0.698405,0.042670,0.568101,0.217243,0.141920,0.913320,0.925699,0.420208,1.014132,0.652008,0.527374,0.334581,0.787051,-0.005568,0.175651,0.827826,0.687116,0.200192,0.217928,0.374278,0.336798,0.151466,0.578359,0.582111,-0.194567,0.034512,0.084720,0.174983,-0.101829,0.212569,0.236581,0.221379,0.367994,0.778621,0.083897,0.842370,0.131817,0.000030,1.225976,0.000000,3.252284,29.624690,20.927943,4.226673,2.999932,4.541251,304.938589,0.007005,5264.616643,1.441943,15.740387,7.574576,0.187396,97.476973,30.795424,2.153384,123.324073,73.851546,189.175727,16.368892,3.289362,19.566556,194106998052932.031250,4.797646,0.556131,3.496174,0.078985,0.023711,3.207402,177.606455,32.380463,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,528.704051,3.490961
