MolWt,HeavyAtomMolWt,ExactMolWt,NumHeavyAtoms,NumRotatableBonds,NumRings,NumAromaticRings,NumAliphaticRings,RingCount,FractionCSP3,NumHDonors,NumHAcceptors,TPSA,MolLogP,MolMR,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,SMR_VSA1,SMR_VSA2,SMR_VSA3,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,NumValenceElectrons,NumRadicalElectrons,fr_C_O,fr_NH0,fr_NH1,fr_ArN,fr_Ar_COO,fr_ether,fr_ketone,fr_imide,fr_amide,HallKierAlpha,Kappa1,Kappa2,polyBERT_dim_01,polyBERT_dim_02,polyBERT_dim_03,polyBERT_dim_04,polyBERT_dim_05,polyBERT_dim_06,polyBERT_dim_07,polyBERT_dim_08,polyBERT_dim_09,polyBERT_dim_10,polyBERT_dim_11,polyBERT_dim_12,polyBERT_dim_13,polyBERT_dim_14,polyBERT_dim_15,polyBERT_dim_16,polyBERT_dim_17,polyBERT_dim_18,polyBERT_dim_19,polyBERT_dim_20,polyBERT_dim_21,polyBERT_dim_22,polyBERT_dim_23,polyBERT_dim_24,polyBERT_dim_25,polyBERT_dim_26,polyBERT_dim_27,polyBERT_dim_28,polyBERT_dim_29,polyBERT_dim_30,polyBERT_dim_31,polyBERT_dim_32,polyBERT_dim_33,polyBERT_dim_34,polyBERT_dim_35,polyBERT_dim_36,polyBERT_dim_37,polyBERT_dim_38,polyBERT_dim_39,polyBERT_dim_40,DegreeOfCrystallinity,CrystallinePhaseContent,AmorphousPhaseContent,FreeVolumeFraction,ChainRigidityIndex,SegmentalMobility,ThermalExpansionCoeff,HeatCapacity_Cp,ThermalDiffusivity,GlassyModulus,DielectricPolarizability,ElectronicPolarizability,IonicPolarizability,OrientationalPolarizability,DipoleMomentRepeat,CurieWeissConstant,CrosslinkingDensity,EntanglementMolWt,ContourLengthPerUnit,PersistenceLength,CharacteristicRatio,ChainFlexibilityParam,Mw_kDa,Mn_kDa,PolyDisersityIndex,ZAverageMolWt,ViscosityAverageMolWt,NumberAverageDPn,LamellaeThickness_nm,SpheruliteRadius_um,CrystalThickness_nm,TieChainsPerArea,InterfacialThickness_nm,MicrostructureOrder,PermittivityRealPart,PermittivityImaginaryPart,TanDeltaDielectric,YoungModulus_GPa,TensileStrength_MPa,ElongationBreak_pct,morgan_fp_00,morgan_fp_01,morgan_fp_02,morgan_fp_03,morgan_fp_04,morgan_fp_05,morgan_fp_06,morgan_fp_07,morgan_fp_08,morgan_fp_09,morgan_fp_10,morgan_fp_11,morgan_fp_12,morgan_fp_13,morgan_fp_14,morgan_fp_15,morgan_fp_16,morgan_fp_17,morgan_fp_18,morgan_fp_19,morgan_fp_20,morgan_fp_21,morgan_fp_22,morgan_fp_23,morgan_fp_24,morgan_fp_25,morgan_fp_26,morgan_fp_27,morgan_fp_28,morgan_fp_29,morgan_fp_30,morgan_fp_31,morgan_fp_32,morgan_fp_33,morgan_fp_34,morgan_fp_35,morgan_fp_36,morgan_fp_37,morgan_fp_38,morgan_fp_39,morgan_fp_40,morgan_fp_41,morgan_fp_42,morgan_fp_43,morgan_fp_44,morgan_fp_45,morgan_fp_46,morgan_fp_47,morgan_fp_48,morgan_fp_49,morgan_fp_50,morgan_fp_51,morgan_fp_52,morgan_fp_53,morgan_fp_54,morgan_fp_55,morgan_fp_56,morgan_fp_57,morgan_fp_58,morgan_fp_59,morgan_fp_60,morgan_fp_61,morgan_fp_62,morgan_fp_63,Tg_degC,Dk_1GHz
943.020000,900.684000,942.282883,72.000000,18.000000,10.000000,10.000000,0.000000,10.000000,0.000000,0.000000,9.000000,106.590000,16.133400,275.161500,415.205915,28.421178,14.383612,0.000000,0.000000,42.804789,0.000000,0.000000,28.421178,17.349735,0.000000,348.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,6.000000,3.000000,0.000000,0.000000,-9.990000,45.774621,21.533744,1.109552,0.429517,0.972631,0.958688,1.247323,1.077020,0.835554,0.373314,1.381237,0.700928,0.392527,0.423560,0.642433,0.273365,0.044471,-0.089923,0.103506,-0.458251,0.407475,0.288513,0.327437,0.043273,0.161251,0.351440,0.599918,-0.006863,1.083952,0.608345,0.687712,-0.099046,0.061392,-0.121588,0.237608,0.406938,1.033178,0.281352,0.178026,-0.060914,-0.330855,0.804820,0.420506,0.566390,0.579494,0.082218,0.903612,0.103424,0.000040,1.228237,0.000000,3.532858,25.946996,16.873550,3.289914,2.316826,3.328161,185.036295,0.003966,7894.237326,1.736141,10.735056,11.470471,0.146240,81.508400,56.370307,2.218812,153.122586,69.954150,197.135614,14.256033,9.449556,20.882478,196630112399650.531250,4.649727,0.694963,3.035175,0.050238,0.002915,3.838268,205.398722,32.986052,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,617.633731,3.435804
957.047000,912.695000,956.298533,73.000000,18.000000,10.000000,10.000000,0.000000,10.000000,0.015625,0.000000,9.000000,106.590000,16.441820,279.898500,421.570857,28.421178,14.383612,0.000000,0.000000,42.804789,0.000000,0.000000,28.421178,17.349735,0.000000,354.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,6.000000,3.000000,0.000000,0.000000,-9.990000,46.724786,21.752291,0.894621,0.795530,0.498533,0.712615,0.593877,0.660740,1.477919,0.978867,0.155049,1.101437,0.257300,0.558389,0.411287,0.706506,0.056086,0.069130,0.006553,0.640549,0.240219,0.282729,0.622273,0.703905,0.557150,0.494672,0.572770,1.055235,0.239686,0.834333,0.763856,0.092679,0.030546,-0.073706,0.262743,-0.131021,0.268404,0.233798,0.038302,0.299098,0.161475,0.711091,0.446315,0.371588,0.553685,0.104589,0.858323,0.143947,0.000051,1.448693,0.000000,3.624646,23.001403,19.487332,2.574707,2.566236,3.582667,162.820540,0.002537,7478.347658,1.829967,9.085392,9.617881,0.133019,92.058709,56.058771,1.705686,95.478824,61.697931,201.891424,15.009289,8.722705,20.412436,243456593230470.531250,6.046124,0.635862,3.489254,0.052258,0.002817,4.049215,212.316272,31.070369,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,600.571233,3.032467
957.047000,912.695000,956.298533,73.000000,18.000000,10.000000,10.000000,0.000000,10.000000,0.015625,0.000000,9.000000,106.590000,16.441820,279.898500,421.570857,28.421178,14.383612,0.000000,0.000000,42.804789,0.000000,0.000000,28.421178,17.349735,0.000000,354.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,6.000000,3.000000,0.000000,0.000000,-9.990000,46.724786,21.752291,0.776745,1.020290,0.903764,0.704700,0.125936,0.574640,1.171329,0.652028,0.400933,0.737490,0.235262,0.311597,0.708134,0.356252,0.446878,0.075876,0.097109,0.241157,0.093215,0.142060,0.714437,0.175384,0.497013,0.471297,0.096711,0.197061,0.685842,1.136265,0.708449,0.465019,0.308757,0.212387,0.403322,-0.090793,0.258094,-0.618068,0.221991,0.176676,0.591431,-0.115903,0.323085,0.375658,0.676915,0.056682,0.776683,0.146703,0.000049,1.404547,0.000000,3.425644,25.241576,18.841689,3.118633,2.568836,4.426901,190.653284,0.004415,7926.141767,1.673350,9.210662,8.385460,0.142829,99.603524,49.182247,2.269074,154.267811,94.555623,219.511185,14.450392,10.319770,26.542123,193159877979880.937500,5.812631,0.716934,3.153321,0.037200,0.003362,3.581951,198.429169,30.305255,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,602.274519,3.422290
961.010000,919.682000,960.273461,73.000000,18.000000,10.000000,10.000000,0.000000,10.000000,0.000000,0.000000,9.000000,106.590000,16.272500,275.119500,419.371450,28.421178,14.383612,4.390415,0.000000,47.195204,0.000000,0.000000,28.421178,17.349735,0.000000,354.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,6.000000,3.000000,0.000000,0.000000,-10.060000,46.658232,21.707398,0.995638,0.509965,0.773787,0.626066,0.471185,0.356079,0.843977,0.592255,0.408692,0.540923,0.064600,0.154562,0.202519,-0.030686,-0.164902,0.430326,0.019272,0.293130,-0.066453,0.647006,0.577910,0.695094,0.881933,0.536849,0.772351,0.675630,0.084253,0.754788,0.842036,0.860485,-0.144767,0.174003,0.549166,0.802933,0.268418,-0.267250,-0.010171,-0.089112,-0.159229,0.084641,0.456612,0.455225,0.543388,0.077978,0.916394,0.104346,0.000042,1.292601,0.000000,3.310978,27.599601,19.568093,2.971543,2.451225,3.840999,180.417150,0.004396,7261.428490,1.773171,10.080038,10.827145,0.130900,114.954451,47.869722,1.940214,162.263618,69.927029,261.235929,15.936184,8.757745,25.207151,216495229660275.187500,5.808938,0.679406,3.131726,0.060010,0.002588,3.250397,184.026984,31.017220,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,636.645843,3.732405
971.074000,924.706000,970.314183,74.000000,18.000000,10.000000,10.000000,0.000000,10.000000,0.030769,0.000000,9.000000,106.590000,16.750240,284.635500,427.935799,28.421178,14.383612,0.000000,0.000000,42.804789,0.000000,0.000000,28.421178,17.349735,0.000000,360.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,6.000000,3.000000,0.000000,0.000000,-9.990000,47.676250,21.972103,0.502674,0.462819,0.645318,0.961900,0.662605,0.587219,0.636406,0.771101,0.970283,0.573294,0.306448,-0.112914,-0.395761,0.289088,0.209958,0.422325,0.419863,0.195770,0.824522,0.507543,0.327534,0.730245,0.932241,0.751311,0.739028,0.403551,0.168537,0.868428,1.195783,0.481704,-0.346169,-0.030202,-0.603011,-0.522461,0.128349,0.448058,0.187067,0.238959,-0.349456,0.238340,0.405635,0.442467,0.594365,0.066518,0.871096,0.162623,0.000049,1.281638,0.000000,4.006118,22.393901,22.948467,3.246171,2.732440,3.422961,191.581008,0.004517,7921.353175,1.642508,11.456824,11.778768,0.170179,106.744619,37.969052,2.155952,155.724802,93.829795,150.263518,18.969472,8.927940,14.831829,233379764525513.812500,6.452362,0.757443,3.147946,0.073101,0.002593,3.977189,186.620598,32.180069,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,621.018355,3.291663
991.492000,948.148000,990.259561,74.000000,18.000000,10.000000,10.000000,0.000000,10.000000,0.015625,0.000000,9.000000,106.590000,17.095220,284.908500,431.874123,28.421178,14.383612,0.000000,0.000000,42.804789,0.000000,0.000000,28.421178,17.349735,0.000000,360.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,6.000000,3.000000,0.000000,0.000000,-9.700000,47.952411,22.157617,0.354244,0.995148,0.950644,0.665596,0.879925,1.015070,0.928964,0.509689,0.006521,1.139848,0.428656,0.325771,0.549799,0.379087,0.192842,0.114215,0.292724,0.540386,0.349259,0.039949,0.314888,0.426841,0.931881,0.918124,0.741456,0.762962,0.546283,0.938955,0.918814,0.878598,0.146891,-0.046060,-0.385890,0.159327,0.152993,0.472823,0.046237,0.445344,0.334500,0.165960,0.476731,0.329323,0.523269,0.060808,0.918596,0.162582,0.000038,1.133090,0.000000,3.783173,28.568376,20.291138,2.995865,2.823080,4.557453,183.398208,0.004211,9383.832073,1.721419,9.998827,11.264249,0.148421,118.366152,34.802156,2.190893,172.484269,96.199402,108.401984,14.856084,8.357540,26.220661,226224586751283.375000,5.006353,0.881801,3.151488,0.047894,0.003148,3.561529,252.597171,30.372098,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,648.945067,3.958044
959.019000,916.683000,958.277798,73.000000,18.000000,10.000000,10.000000,0.000000,10.000000,0.000000,1.000000,10.000000,126.820000,15.839000,276.826300,420.000149,33.527705,14.383612,0.000000,0.000000,47.911317,0.000000,0.000000,28.421178,22.456262,0.000000,354.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,6.000000,3.000000,0.000000,0.000000,-10.190000,46.534647,21.624100,0.792672,0.387228,0.900267,0.344876,0.891342,0.650529,0.642227,0.790929,0.528964,0.212274,0.321862,0.309724,0.075844,0.287319,0.340938,0.623410,0.073680,0.114412,-0.086980,0.012160,0.075792,0.328598,0.908012,0.689648,0.852241,0.076736,0.640705,0.194412,0.967690,0.465864,-0.097587,-0.091800,0.158830,-0.119515,0.070930,0.232919,0.183290,-0.182569,0.196913,0.083095,0.460332,0.424312,0.539668,0.133269,0.814500,0.103167,0.000053,1.354925,0.000000,3.843174,23.532105,19.115743,2.522251,2.283465,4.087360,179.447539,0.001567,8186.375246,1.562068,11.778798,9.761227,0.152712,94.314318,54.611346,2.314482,179.915234,79.028902,273.003633,14.639815,7.983358,19.114573,186688611765722.031250,5.487370,0.619339,3.609142,0.055401,0.001978,3.808770,130.090529,29.708725,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,563.373845,2.958225
957.047000,912.695000,956.298533,73.000000,18.000000,10.000000,10.000000,0.000000,10.000000,0.015625,0.000000,9.000000,106.590000,16.441820,279.898500,421.570857,28.421178,14.383612,0.000000,0.000000,42.804789,0.000000,0.000000,28.421178,17.349735,0.000000,354.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,6.000000,3.000000,0.000000,0.000000,-9.990000,46.724786,21.752291,0.403647,0.370394,1.085355,0.938114,0.932450,0.564852,0.353006,0.723182,0.281297,1.028754,0.286352,0.020851,0.453832,0.162419,0.381757,0.093557,0.341877,0.601422,0.263112,0.126887,0.580722,0.669038,0.696262,1.050512,0.199918,0.691100,0.396716,0.816051,0.666532,0.477470,0.149144,-0.623686,0.052375,-0.137637,0.161120,0.532890,0.312853,-0.286893,0.328551,-0.014867,0.451895,0.436074,0.548105,0.069502,0.906803,0.183932,0.000050,1.345432,0.000000,3.548742,22.026394,18.176163,2.753976,2.182203,3.278435,155.531634,0.001543,7412.695475,1.498945,11.402101,10.542874,0.148528,121.222879,40.691626,2.106312,167.272843,88.249329,265.850435,14.551278,10.245970,17.851630,200855199352834.625000,5.986095,0.682978,3.130414,0.060477,0.002699,3.602782,188.136765,27.258716,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,626.449944,3.425862
959.019000,916.683000,958.277798,73.000000,18.000000,10.000000,10.000000,0.000000,10.000000,0.000000,1.000000,10.000000,126.820000,15.839000,276.826300,420.000149,33.527705,14.383612,0.000000,0.000000,47.911317,0.000000,0.000000,28.421178,22.456262,0.000000,354.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,6.000000,3.000000,0.000000,0.000000,-10.190000,46.534647,21.624100,0.549123,0.725660,0.835073,0.957778,0.455483,0.633808,0.864393,0.628449,0.714249,0.662933,0.183997,-0.158069,0.089330,0.082011,0.234849,0.298193,0.304613,0.361448,0.307164,0.203555,0.955624,0.485734,0.706717,0.481981,1.195783,0.638900,0.483335,0.551084,0.600598,0.422169,0.034151,0.261887,0.298351,0.367321,0.248674,0.119920,0.070135,0.371117,0.264453,-0.264853,0.491816,0.582995,0.508184,0.070895,0.874866,0.127558,0.000044,1.309647,0.000000,4.117504,27.422734,19.405343,2.882967,2.593941,3.037600,162.309250,0.002741,9314.309385,1.698111,10.362358,11.893016,0.205822,111.153453,34.663774,1.962507,150.207875,103.920801,236.982077,17.421797,9.461714,20.894104,166884436477737.437500,6.291079,0.720950,3.219402,0.050881,0.002148,3.806769,195.090838,36.508947,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,634.543741,3.783704
975.018000,932.682000,974.272712,74.000000,18.000000,10.000000,10.000000,0.000000,10.000000,0.000000,2.000000,11.000000,147.050000,15.544600,278.491100,424.794382,38.634233,14.383612,0.000000,0.000000,53.017844,0.000000,0.000000,28.421178,27.562790,0.000000,360.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,6.000000,3.000000,0.000000,0.000000,-10.390000,47.295512,21.716994,0.649745,0.872399,0.596201,0.699581,0.511985,0.707554,0.593529,1.163903,0.990694,1.003490,0.021740,0.324980,0.574177,0.623836,-0.143506,0.433115,1.070551,0.228688,-0.373009,-0.310855,1.131004,0.781408,0.989791,-0.297353,0.906973,0.735525,0.267379,1.007966,0.010128,0.029243,-0.031154,-0.176541,0.341486,-0.357257,0.480752,0.026221,0.300673,0.008987,-0.185927,0.473179,0.495827,0.550635,0.504173,0.096168,0.849212,0.139554,0.000043,1.325513,0.000000,3.482083,26.909123,21.977874,3.150150,2.387088,3.144968,177.018089,0.002616,8459.157413,1.537979,10.031552,9.109721,0.154176,111.777661,49.457942,1.880569,99.011126,80.673879,208.164279,16.830415,10.597701,23.662266,220316834528364.781250,5.795365,0.576053,3.950987,0.067035,0.003471,4.092080,195.744408,33.307794,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,598.598945,3.591838
