MolWt,HeavyAtomMolWt,ExactMolWt,NumHeavyAtoms,NumRotatableBonds,NumRings,NumAromaticRings,NumAliphaticRings,RingCount,FractionCSP3,NumHDonors,NumHAcceptors,TPSA,MolLogP,MolMR,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,SMR_VSA1,SMR_VSA2,SMR_VSA3,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,NumValenceElectrons,NumRadicalElectrons,fr_C_O,fr_NH0,fr_NH1,fr_ArN,fr_Ar_COO,fr_ether,fr_ketone,fr_imide,fr_amide,HallKierAlpha,Kappa1,Kappa2,polyBERT_dim_01,polyBERT_dim_02,polyBERT_dim_03,polyBERT_dim_04,polyBERT_dim_05,polyBERT_dim_06,polyBERT_dim_07,polyBERT_dim_08,polyBERT_dim_09,polyBERT_dim_10,polyBERT_dim_11,polyBERT_dim_12,polyBERT_dim_13,polyBERT_dim_14,polyBERT_dim_15,polyBERT_dim_16,polyBERT_dim_17,polyBERT_dim_18,polyBERT_dim_19,polyBERT_dim_20,polyBERT_dim_21,polyBERT_dim_22,polyBERT_dim_23,polyBERT_dim_24,polyBERT_dim_25,polyBERT_dim_26,polyBERT_dim_27,polyBERT_dim_28,polyBERT_dim_29,polyBERT_dim_30,polyBERT_dim_31,polyBERT_dim_32,polyBERT_dim_33,polyBERT_dim_34,polyBERT_dim_35,polyBERT_dim_36,polyBERT_dim_37,polyBERT_dim_38,polyBERT_dim_39,polyBERT_dim_40,DegreeOfCrystallinity,CrystallinePhaseContent,AmorphousPhaseContent,FreeVolumeFraction,ChainRigidityIndex,SegmentalMobility,ThermalExpansionCoeff,HeatCapacity_Cp,ThermalDiffusivity,GlassyModulus,DielectricPolarizability,ElectronicPolarizability,IonicPolarizability,OrientationalPolarizability,DipoleMomentRepeat,CurieWeissConstant,CrosslinkingDensity,EntanglementMolWt,ContourLengthPerUnit,PersistenceLength,CharacteristicRatio,ChainFlexibilityParam,Mw_kDa,Mn_kDa,PolyDisersityIndex,ZAverageMolWt,ViscosityAverageMolWt,NumberAverageDPn,LamellaeThickness_nm,SpheruliteRadius_um,CrystalThickness_nm,TieChainsPerArea,InterfacialThickness_nm,MicrostructureOrder,PermittivityRealPart,PermittivityImaginaryPart,TanDeltaDielectric,YoungModulus_GPa,TensileStrength_MPa,ElongationBreak_pct,morgan_fp_00,morgan_fp_01,morgan_fp_02,morgan_fp_03,morgan_fp_04,morgan_fp_05,morgan_fp_06,morgan_fp_07,morgan_fp_08,morgan_fp_09,morgan_fp_10,morgan_fp_11,morgan_fp_12,morgan_fp_13,morgan_fp_14,morgan_fp_15,morgan_fp_16,morgan_fp_17,morgan_fp_18,morgan_fp_19,morgan_fp_20,morgan_fp_21,morgan_fp_22,morgan_fp_23,morgan_fp_24,morgan_fp_25,morgan_fp_26,morgan_fp_27,morgan_fp_28,morgan_fp_29,morgan_fp_30,morgan_fp_31,morgan_fp_32,morgan_fp_33,morgan_fp_34,morgan_fp_35,morgan_fp_36,morgan_fp_37,morgan_fp_38,morgan_fp_39,morgan_fp_40,morgan_fp_41,morgan_fp_42,morgan_fp_43,morgan_fp_44,morgan_fp_45,morgan_fp_46,morgan_fp_47,morgan_fp_48,morgan_fp_49,morgan_fp_50,morgan_fp_51,morgan_fp_52,morgan_fp_53,morgan_fp_54,morgan_fp_55,morgan_fp_56,morgan_fp_57,morgan_fp_58,morgan_fp_59,morgan_fp_60,morgan_fp_61,morgan_fp_62,morgan_fp_63,Tg_degC,Dk_1GHz
588.073000,588.073000,587.961677,35.000000,8.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,7.828700,56.633000,172.361522,0.000000,0.000000,0.000000,105.369961,105.369961,0.000000,0.000000,0.000000,65.655360,0.000000,212.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.680000,33.320000,7.663423,-0.483251,-0.664938,-0.474545,-0.725876,-0.402801,-0.583414,-0.269365,-0.426245,-0.619929,-0.288748,-0.098431,-0.106783,-0.872131,-0.306939,-0.399103,-0.841949,-0.501408,-0.597172,-0.659311,-0.328427,0.013643,-0.001234,0.136896,0.246437,-0.223872,0.088208,0.332108,0.302840,0.184186,0.047186,0.466737,0.419395,0.596922,0.445855,0.423825,-0.055591,0.602520,0.323197,-0.194233,0.502219,0.526518,0.668228,0.473482,0.133165,0.688043,0.250894,0.000111,0.952376,0.000000,0.542696,13.890162,13.851242,0.372351,0.247671,0.038878,8.207483,0.000475,10886.724011,1.143635,0.923502,5.020831,0.461908,3406.956746,535.646157,7.567925,7075.713890,2121.192240,5805.275526,29.083033,31.469473,30.225785,270925739777819.062500,7.897561,0.670324,1.884842,0.000938,0.000182,0.516818,44.152386,272.109569,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,168.541409,1.500000
604.528000,604.528000,603.932127,35.000000,8.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,8.098000,61.378000,178.499253,0.000000,0.000000,4.390415,96.589131,100.979546,0.000000,0.000000,0.000000,64.860772,0.000000,212.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.320000,33.680000,7.839933,-0.579234,-0.627254,-0.837327,-0.571872,-0.690605,-0.513217,-0.695956,-0.648466,-0.539020,-0.671084,-0.395649,-0.304666,-0.331336,-0.695753,-0.459814,-0.521457,-0.385230,-0.736296,-0.269147,-0.605429,0.158166,0.480664,0.228691,0.098364,-0.048763,0.262875,0.340283,0.152334,0.388962,-0.104033,0.431196,0.589655,0.655908,0.410644,0.491523,0.051524,0.813565,0.125522,0.271825,0.244302,0.519697,0.541731,0.480303,0.131129,0.690304,0.316908,0.000102,0.954850,0.000000,0.465596,13.196369,12.498299,0.640291,0.270760,0.003751,-1.033675,0.000472,13376.699014,1.255313,1.038922,6.369066,0.581996,2906.468952,470.365913,6.649961,8928.388464,2807.609362,4897.728009,22.729833,28.673505,35.584076,324686526092368.437500,6.982915,0.727331,2.011487,0.001131,0.000172,0.492966,32.817301,384.833349,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,168.062847,1.500000
584.110000,581.086000,583.986749,35.000000,8.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,7.921600,61.199000,174.560929,0.000000,0.000000,4.390415,96.589131,100.979546,0.000000,0.000000,0.000000,65.401590,0.000000,212.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.610000,33.390000,7.697625,-0.674688,-0.444708,-0.617259,-0.584734,-0.539402,-0.689119,-0.770423,-0.438011,-0.570826,-0.535468,-0.437942,-0.564705,-0.217702,-0.586422,-0.880081,-0.439314,-0.328939,-0.693607,-0.212179,-0.564569,0.448078,0.356964,0.191202,0.173147,0.173895,0.303762,0.048296,-0.068382,0.063832,0.211008,0.222569,0.383800,0.435251,0.301092,0.304884,0.490877,0.259278,0.319635,0.402627,0.242683,0.650070,0.608912,0.349930,0.096926,0.687224,0.281380,0.000119,0.909446,0.000000,0.619772,12.033852,12.910925,0.627505,0.370113,0.000000,8.486789,0.000499,12350.594483,1.255109,1.034699,6.324463,0.543048,3019.311711,433.702090,6.963426,7994.143821,2607.661765,5277.372745,28.876430,28.862472,31.472024,276691809108090.531250,7.590679,0.842470,2.166850,0.001022,0.000180,0.646675,27.684426,368.707570,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,198.324867,1.941013
648.979000,648.979000,647.881611,35.000000,8.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,8.254100,64.452000,182.063534,0.000000,0.000000,4.390415,96.589131,100.979546,0.000000,0.000000,0.000000,64.310858,0.000000,212.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.130000,33.870000,7.933705,-0.621437,-0.516667,-0.436623,-0.954500,-0.754829,-0.233251,-0.465954,-0.475279,-0.740893,-0.531145,-0.513649,-0.210953,-0.414374,-0.404667,-0.990406,-0.369148,-0.462179,-0.608673,-0.441371,-0.410586,0.395385,0.404490,0.065062,0.174052,0.160334,0.382653,0.297326,0.262416,0.144705,0.133342,0.282153,0.548010,0.348252,0.254446,0.349053,0.750922,0.919641,0.497136,0.167122,0.512883,0.585429,0.636372,0.414571,0.100342,0.757356,0.297270,0.000117,1.010331,0.000000,0.509072,14.354200,9.664338,0.527886,0.305401,0.018976,-0.063054,0.000385,14665.427591,1.236926,1.056723,5.633133,0.560052,4046.289553,602.722738,5.960651,6758.900254,3105.556624,4672.047885,33.258681,33.040383,30.997010,365140868383005.000000,7.633571,0.753135,2.054030,0.000921,0.000160,0.489626,32.266246,251.924174,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,204.222554,1.873092
584.110000,581.086000,583.986749,35.000000,9.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,7.921600,61.199000,174.560929,0.000000,0.000000,0.000000,100.979546,100.979546,0.000000,0.000000,0.000000,65.401590,0.000000,212.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.610000,33.390000,7.697625,-0.186309,-0.548534,-0.475257,-0.567079,-0.690049,-0.673348,-0.547145,-0.736708,-0.558627,-0.432518,-0.785491,-0.551189,-0.389841,-0.340982,-0.238478,-0.367903,-0.356335,-0.357739,-0.689164,-0.687497,0.026981,-0.194601,0.566729,0.326248,-0.187953,0.126121,0.130861,0.216899,0.290168,0.072239,0.375908,0.460115,0.300313,0.544997,0.203248,0.499054,0.330718,0.324341,0.345395,0.416884,0.558031,0.689086,0.441969,0.079130,0.770171,0.215782,0.000117,1.135632,0.000000,0.654096,13.685914,13.369319,0.544438,0.354734,0.044934,-7.466957,0.000398,11623.366787,1.233293,1.148701,6.241101,0.518644,2097.337252,410.772896,5.853120,7167.971722,3394.247164,4248.627206,21.123979,35.822485,33.342709,320850798684353.250000,8.019676,0.673875,2.011719,0.001184,0.000181,0.557442,27.746193,352.703941,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,217.909425,1.972965
648.979000,648.979000,647.881611,35.000000,9.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,8.254100,64.452000,182.063534,0.000000,0.000000,0.000000,100.979546,100.979546,0.000000,0.000000,0.000000,64.310858,0.000000,212.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.130000,33.870000,7.933705,-0.678717,-0.409497,-0.604093,-0.465587,-0.602161,-0.468163,-0.553389,-0.610541,-0.791309,-0.261796,-0.391196,-0.793514,-0.387428,-0.178028,-0.454097,-0.311212,-0.316827,-0.444026,-0.447219,-0.749259,0.402173,0.065487,0.008749,0.487932,0.361873,0.246693,-0.003530,0.163651,0.236008,0.403337,0.459533,0.312269,0.454308,0.378720,0.375922,0.464219,0.468929,0.550929,0.151000,0.389632,0.635733,0.574271,0.364267,0.199403,0.644401,0.194581,0.000119,1.132083,0.000000,0.525096,12.829177,12.361588,0.479959,0.374160,0.000000,-2.904902,0.000654,11743.922256,1.318170,1.368010,5.314484,0.473984,3535.134553,512.643604,6.382604,6975.763191,3164.677766,5880.982906,18.397597,31.347741,36.511211,339854090235111.750000,8.336923,0.841420,2.101890,0.000937,0.000249,0.548015,34.252290,294.204825,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,118.136998,1.500000
709.885000,709.885000,707.801545,35.000000,8.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,8.679500,72.271000,191.765546,0.000000,0.000000,8.780830,87.808301,96.589131,0.000000,0.000000,0.000000,62.966357,0.000000,212.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.580000,34.420000,8.207509,-0.631302,-0.674100,-0.722762,-1.077760,-0.307286,-0.242472,-0.636308,-0.630392,-0.446888,-0.502589,-0.726838,-0.379099,-0.479326,-0.416487,-0.882749,-0.515584,-0.527404,-0.520797,-0.542305,-0.659527,0.557167,-0.138213,0.482423,-0.027309,0.264005,0.147168,-0.000596,-0.087913,0.241575,0.286551,0.370635,0.455983,0.695307,0.271377,0.138625,0.267427,0.513815,0.396695,0.436750,0.622520,0.627247,0.590267,0.372753,0.123429,0.718355,0.353429,0.000116,0.973769,0.000000,0.571541,13.359858,12.633680,0.489993,0.345449,0.000000,1.906710,0.000655,10558.259526,1.375702,0.935875,6.478141,0.471482,3091.153505,431.774542,6.521070,10620.854574,2893.312029,5369.683343,27.174811,35.952036,31.215667,308450074450276.125000,6.246782,0.729077,2.033459,0.001106,0.000228,0.697069,17.516027,325.288912,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,189.497900,1.653059
620.983000,620.983000,619.902576,35.000000,8.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,8.367300,66.123000,184.636983,0.000000,0.000000,8.780830,87.808301,96.589131,0.000000,0.000000,0.000000,64.066184,0.000000,212.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.960000,34.040000,8.017962,-0.428579,-0.509564,-0.545151,-1.052130,-0.415670,-0.700316,-0.966485,-0.786758,-0.622285,-0.428305,-0.943792,-0.220489,-0.636314,-0.532910,-0.539405,-0.520272,-0.833061,-0.753061,-0.536521,-0.265050,0.148740,0.192631,0.393190,0.274742,0.263822,0.251916,0.049075,0.396425,-0.227507,0.092073,0.357606,0.435491,0.665202,0.247586,0.227337,0.361417,0.667707,0.310178,0.355092,0.372245,0.778302,0.684318,0.221698,0.124760,0.642458,0.260532,0.000123,1.012598,0.000000,0.477719,12.163370,11.839841,0.528393,0.290119,0.067364,-2.622199,0.000644,13804.364954,1.282401,1.096160,6.641875,0.561765,2695.028438,479.134974,6.535492,6559.420692,2364.648577,4749.791991,21.715040,38.007606,24.158891,359525442756933.437500,7.097663,0.728168,2.126341,0.001019,0.000221,0.708016,36.400451,346.404904,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,177.988248,1.992280
604.528000,604.528000,603.932127,35.000000,9.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,8.098000,61.378000,178.499253,0.000000,0.000000,0.000000,100.979546,100.979546,0.000000,0.000000,0.000000,64.860772,0.000000,212.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.320000,33.680000,7.839933,-0.651630,-0.819132,-0.617223,-0.572431,-0.815498,-0.860965,-0.464170,-0.547645,-0.521623,-0.660066,-0.294744,-0.428904,-0.298656,-0.238695,-0.428368,-0.361762,-0.718318,-0.509326,-0.408378,-0.646028,0.259717,0.341047,0.501544,0.268475,0.163585,-0.019054,-0.065478,-0.247976,0.207661,0.328372,0.685425,0.458357,0.471435,0.476807,0.140480,0.095163,0.323529,0.173602,0.679450,0.324802,0.618248,0.580421,0.381752,0.104075,0.644268,0.244737,0.000133,1.034149,0.000000,0.587770,11.110210,11.177176,0.488229,0.248341,0.000000,1.039267,0.000683,14619.944234,1.178952,0.890845,6.820960,0.499522,3315.747026,547.605748,6.931143,8701.006201,2806.329833,3988.887937,21.922218,26.811864,31.007760,423243933400504.250000,8.085514,0.757640,1.971280,0.000893,0.000201,0.535572,30.163585,298.346290,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,177.679918,1.782068
580.147000,574.099000,580.011821,35.000000,8.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,8.014500,65.765000,176.760335,0.000000,0.000000,8.780830,87.808301,96.589131,0.000000,0.000000,0.000000,65.147821,0.000000,212.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.540000,33.460000,7.731884,-0.503827,-0.832218,-0.689576,-0.773315,-0.242784,-0.730640,-0.905288,-0.814931,-0.629028,-0.686821,-0.517419,-0.681949,-0.652066,-0.419227,-0.618573,-0.479130,-0.325373,-0.464476,-0.367190,-0.520624,0.342691,0.667464,0.207420,-0.098440,0.280386,0.084571,0.157728,0.066695,0.325102,0.112445,0.429428,0.384966,0.249824,0.216686,0.347145,0.658121,0.198722,0.462916,0.450207,0.715677,0.641028,0.572253,0.358972,0.137049,0.686207,0.252414,0.000088,0.985618,0.000000,0.602167,12.638401,12.070078,0.606662,0.336740,0.003745,0.465275,0.000226,12666.518731,1.263219,1.327213,5.241613,0.398227,2677.271977,484.491332,6.316790,10148.696705,3036.059550,4925.815655,29.595077,36.726691,30.034553,373438647601152.562500,9.488513,0.733469,1.953906,0.001018,0.000196,0.567473,30.062951,318.214374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,176.710141,1.600764
