Model,Target,Rank,Feature,Mean_Abs_SHAP
GBR,Tg_degC,1,ViscosityAverageMolWt,16.100049
GBR,Tg_degC,2,NumberAverageDPn,13.647818
GBR,Tg_degC,3,ChainRigidityIndex,12.475064
GBR,Tg_degC,4,Mw_kDa,11.109725
GBR,Tg_degC,5,SMR_VSA1,10.194228
GBR,Tg_degC,6,ChainFlexibilityParam,9.857153
GBR,Tg_degC,7,IonicPolarizability,9.523375
GBR,Tg_degC,8,FreeVolumeFraction,9.061234
GBR,Tg_degC,9,polyBERT_dim_09,8.26327
GBR,Tg_degC,10,CurieWeissConstant,7.655752
GBR,Tg_degC,11,HallKierAlpha,7.39544
GBR,Tg_degC,12,PolyDisersityIndex,6.398555
GBR,Tg_degC,13,ElongationBreak_pct,6.330774
GBR,Tg_degC,14,OrientationalPolarizability,6.299614
GBR,Tg_degC,15,ZAverageMolWt,6.298065
GBR,Tg_degC,16,PEOE_VSA4,5.12275
GBR,Tg_degC,17,TPSA,4.871798
GBR,Tg_degC,18,DipoleMomentRepeat,4.625166
GBR,Tg_degC,19,TensileStrength_MPa,4.519193
GBR,Tg_degC,20,Mn_kDa,4.089983
GBR,Tg_degC,21,PermittivityRealPart,3.67667
GBR,Tg_degC,22,FractionCSP3,3.231487
GBR,Tg_degC,23,CrosslinkingDensity,2.669882
GBR,Tg_degC,24,PEOE_VSA2,2.642704
GBR,Tg_degC,25,TanDeltaDielectric,2.397123
GBR,Tg_degC,26,NumHAcceptors,2.307593
GBR,Tg_degC,27,fr_imide,2.200788
GBR,Tg_degC,28,SlogP_VSA1,2.021661
GBR,Tg_degC,29,fr_C_O,1.930793
GBR,Tg_degC,30,SpheruliteRadius_um,1.905088
GBR,Tg_degC,31,PermittivityImaginaryPart,1.85215
GBR,Tg_degC,32,DegreeOfCrystallinity,1.655851
GBR,Tg_degC,33,AmorphousPhaseContent,1.63384
GBR,Tg_degC,34,NumAromaticRings,1.49113
GBR,Tg_degC,35,YoungModulus_GPa,1.458088
GBR,Tg_degC,36,MolMR,1.124406
GBR,Tg_degC,37,MolWt,1.092637
GBR,Tg_degC,38,SlogP_VSA2,1.067464
GBR,Tg_degC,39,PEOE_VSA1,1.038815
GBR,Tg_degC,40,fr_ether,0.91293
GBR,Tg_degC,41,NumRings,0.822087
GBR,Tg_degC,42,ThermalExpansionCoeff,0.779587
GBR,Tg_degC,43,fr_ketone,0.663727
GBR,Tg_degC,44,polyBERT_dim_11,0.406649
GBR,Tg_degC,45,LabuteASA,0.367556
GBR,Tg_degC,46,DielectricPolarizability,0.257538
