Model,Target,Rank,Feature,Mean_Abs_SHAP
MLP,Tg_degC,1,ChainRigidityIndex,31.012013
MLP,Tg_degC,2,FreeVolumeFraction,11.617415
MLP,Tg_degC,3,SlogP_VSA2,10.326863
MLP,Tg_degC,4,SMR_VSA1,9.341919
MLP,Tg_degC,5,NumRings,7.770131
MLP,Tg_degC,6,RingCount,6.982054
MLP,Tg_degC,7,fr_amide,6.081207
MLP,Tg_degC,8,fr_imide,5.85763
MLP,Tg_degC,9,HallKierAlpha,5.617509
MLP,Tg_degC,10,NumberAverageDPn,5.372829
MLP,Tg_degC,11,NumAliphaticRings,5.306848
MLP,Tg_degC,12,PEOE_VSA4,5.23276
MLP,Tg_degC,13,Mw_kDa,5.017475
MLP,Tg_degC,14,Mn_kDa,4.928026
MLP,Tg_degC,15,fr_NH0,4.441162
MLP,Tg_degC,16,ZAverageMolWt,4.121387
MLP,Tg_degC,17,PolyDisersityIndex,4.023154
MLP,Tg_degC,18,ViscosityAverageMolWt,3.964254
MLP,Tg_degC,19,fr_ether,3.814849
MLP,Tg_degC,20,NumAromaticRings,3.698108
MLP,Tg_degC,21,LabuteASA,3.632257
MLP,Tg_degC,22,MolMR,3.506605
MLP,Tg_degC,23,ChainFlexibilityParam,3.460393
MLP,Tg_degC,24,SlogP_VSA1,3.385974
MLP,Tg_degC,25,fr_C_O,2.906834
MLP,Tg_degC,26,NumHAcceptors,2.811399
MLP,Tg_degC,27,PEOE_VSA2,2.741046
MLP,Tg_degC,28,ElongationBreak_pct,2.496118
MLP,Tg_degC,29,FractionCSP3,2.379201
MLP,Tg_degC,30,fr_ketone,1.812485
MLP,Tg_degC,31,TPSA,1.588789
MLP,Tg_degC,32,SpheruliteRadius_um,1.411837
MLP,Tg_degC,33,ThermalExpansionCoeff,1.226937
MLP,Tg_degC,34,MolLogP,1.064978
MLP,Tg_degC,35,CurieWeissConstant,1.060576
MLP,Tg_degC,36,Kappa2,1.012872
MLP,Tg_degC,37,DipoleMomentRepeat,0.944033
MLP,Tg_degC,38,PEOE_VSA1,0.859891
MLP,Tg_degC,39,HeavyAtomMolWt,0.673736
MLP,Tg_degC,40,NumHeavyAtoms,0.473743
MLP,Tg_degC,41,NumRotatableBonds,0.375435
MLP,Tg_degC,42,MolWt,0.292929
MLP,Tg_degC,43,CrosslinkingDensity,0.193183
MLP,Tg_degC,44,AmorphousPhaseContent,0.189991
MLP,Tg_degC,45,TieChainsPerArea,0.163101
MLP,Tg_degC,46,polyBERT_dim_07,0.143352
MLP,Tg_degC,47,ExactMolWt,0.143089
MLP,Tg_degC,48,EntanglementMolWt,0.064114
MLP,Tg_degC,49,NumHDonors,0.0
MLP,Tg_degC,50,PEOE_VSA3,0.0
MLP,Tg_degC,51,SMR_VSA2,0.0
MLP,Tg_degC,52,SMR_VSA3,0.0
MLP,Tg_degC,53,SlogP_VSA3,0.0
MLP,Tg_degC,54,NumValenceElectrons,0.0
MLP,Tg_degC,55,NumRadicalElectrons,0.0
MLP,Tg_degC,56,fr_NH1,0.0
MLP,Tg_degC,57,fr_ArN,0.0
MLP,Tg_degC,58,fr_Ar_COO,0.0
MLP,Tg_degC,59,Kappa1,0.0
MLP,Tg_degC,60,polyBERT_dim_01,0.0
MLP,Tg_degC,61,polyBERT_dim_02,0.0
MLP,Tg_degC,62,polyBERT_dim_03,0.0
MLP,Tg_degC,63,polyBERT_dim_04,0.0
MLP,Tg_degC,64,polyBERT_dim_05,0.0
MLP,Tg_degC,65,polyBERT_dim_06,0.0
MLP,Tg_degC,66,polyBERT_dim_08,0.0
MLP,Tg_degC,67,polyBERT_dim_09,0.0
MLP,Tg_degC,68,polyBERT_dim_10,0.0
MLP,Tg_degC,69,polyBERT_dim_11,0.0
MLP,Tg_degC,70,polyBERT_dim_12,0.0
MLP,Tg_degC,71,polyBERT_dim_13,0.0
MLP,Tg_degC,72,polyBERT_dim_14,0.0
MLP,Tg_degC,73,polyBERT_dim_15,0.0
MLP,Tg_degC,74,polyBERT_dim_16,0.0
MLP,Tg_degC,75,polyBERT_dim_17,0.0
MLP,Tg_degC,76,polyBERT_dim_18,0.0
MLP,Tg_degC,77,polyBERT_dim_19,0.0
MLP,Tg_degC,78,polyBERT_dim_20,0.0
MLP,Tg_degC,79,polyBERT_dim_21,0.0
MLP,Tg_degC,80,polyBERT_dim_22,0.0
MLP,Tg_degC,81,polyBERT_dim_23,0.0
MLP,Tg_degC,82,polyBERT_dim_24,0.0
MLP,Tg_degC,83,polyBERT_dim_25,0.0
MLP,Tg_degC,84,polyBERT_dim_26,0.0
MLP,Tg_degC,85,polyBERT_dim_27,0.0
MLP,Tg_degC,86,polyBERT_dim_28,0.0
MLP,Tg_degC,87,polyBERT_dim_29,0.0
MLP,Tg_degC,88,polyBERT_dim_30,0.0
MLP,Tg_degC,89,polyBERT_dim_31,0.0
MLP,Tg_degC,90,polyBERT_dim_32,0.0
MLP,Tg_degC,91,polyBERT_dim_33,0.0
MLP,Tg_degC,92,polyBERT_dim_34,0.0
MLP,Tg_degC,93,polyBERT_dim_35,0.0
MLP,Tg_degC,94,polyBERT_dim_36,0.0
MLP,Tg_degC,95,polyBERT_dim_37,0.0
MLP,Tg_degC,96,polyBERT_dim_38,0.0
MLP,Tg_degC,97,polyBERT_dim_39,0.0
MLP,Tg_degC,98,polyBERT_dim_40,0.0
MLP,Tg_degC,99,DegreeOfCrystallinity,0.0
MLP,Tg_degC,100,CrystallinePhaseContent,0.0
MLP,Tg_degC,101,SegmentalMobility,0.0
MLP,Tg_degC,102,HeatCapacity_Cp,0.0
MLP,Tg_degC,103,ThermalDiffusivity,0.0
MLP,Tg_degC,104,GlassyModulus,0.0
MLP,Tg_degC,105,DielectricPolarizability,0.0
MLP,Tg_degC,106,ElectronicPolarizability,0.0
MLP,Tg_degC,107,IonicPolarizability,0.0
MLP,Tg_degC,108,OrientationalPolarizability,0.0
MLP,Tg_degC,109,ContourLengthPerUnit,0.0
MLP,Tg_degC,110,PersistenceLength,0.0
MLP,Tg_degC,111,CharacteristicRatio,0.0
MLP,Tg_degC,112,LamellaeThickness_nm,0.0
MLP,Tg_degC,113,CrystalThickness_nm,0.0
