rank,Polymer,Sample_ID,SMILES,is_reference,is_dummy,Tg_degC,Dk_1GHz,RadiationDose_MGy,desirability_score,HeavyAtomMolWt,MolWt,ExactMolWt,TPSA,NumValenceElectrons,polyBERT_dim_31,polyBERT_dim_37,polyBERT_dim_35,polyBERT_dim_14,polyBERT_dim_07,TieChainsPerArea,EntanglementMolWt,ZAverageMolWt,NumberAverageDPn,Mw_kDa,phys_Tg_high,phys_Tg_low,phys_Dk_low,phys_Dk_high,phys_Rad_high,phys_Rad_low
1,Poly_b105dd7b,USR_0130,*c1c(CC)c(C(F)(F)F)c(-n2c(=O)c3ccc4c(c3)c(=O)c3ccc(cc3-4)c(=O)n(*)c2=O)c(OC)c1C(F)(F)F,False,False,483.3857370036765,3.5716429283746143,18.747810345414425,0.610484,546.2940000000004,560.4060000000004,560.080690868,87.37,204.0,-0.1610344734052659,-0.4230529725127613,0.15760764761905066,-0.66268679852781,0.365000399301818,270577284067198.28,6415.900350286665,1385.4945264929827,1426.5753944912724,535.4478169993828,0.61711,0.18767,0.11335,0.60763,0.33353,0.23161
2,Poly_b105dd7b,USR_0002,*c1ccc(-n2c(=O)c3cc(C#N)c4c(c3)c(=O)c3ccc(cc3-4)c(=O)n(*)c2=O)cc1,False,False,465.2610753635213,3.81990094170874,19.380921625981074,0.601776,382.27000000000015,391.34200000000016,391.059305768,101.93,140.0,-0.03395952210256975,0.1180804014368309,0.009675954845869375,-0.5325810062751133,0.21473125571699883,247696224267448.53,9083.600615487721,1071.3704193851602,1126.11761807934,610.3846334828403,0.61539,0.12847,0.09015,0.57938,0.34731,0.22727
3,Poly_b105dd7b,USR_0167,*c1c(C(F)(F)F)cc(-n2c(=O)c3ccc4c(c3)c(=O)c3ccc(cc3-4)c(=O)n(*)c2=O)c(S(N)(=O)=O)c1S(N)(=O)=O,False,False,472.4163326726233,4.096764615178193,19.98557366526638,0.591643,581.4010000000003,592.4890000000003,591.9970399719999,198.45999999999998,204.0,0.23174679651856078,-0.5506006831875343,0.760166485495033,-0.3678522808119815,0.6308059792188515,228761530862684.22,8658.15938391974,1291.4440087519138,1171.3074304140644,571.0235577050545,0.62142,0.12497,0.06464,0.54648,0.40036,0.25321
4,Poly_b105dd7b,USR_0204,*c1ccc(-n2c(=O)c3cc4c(c(C#N)c3C)-c3cc(ccc3c4=O)c(=O)n(*)c2=O)cc1,False,False,461.91128984213185,3.6540448022766303,17.537195467465438,0.588114,394.2810000000002,405.36900000000014,405.07495583199994,101.93,146.0,-0.40125391562932566,-0.33864244394134957,-0.5806040737216964,-0.10217310797929136,-0.29165713133086246,287280762049963.7,7570.774180530395,1237.6520962738432,581.9449740745719,590.6325897545257,0.59838,0.11546,0.09243,0.58892,0.32798,0.27961
5,Poly_b105dd7b,USR_0081,*c1ccc(-n2c(=O)c3ccc4c(c3)c(=O)c3c(C)cc(cc3-4)c(=O)n(*)c2=O)cc1OC,False,False,435.60374663081654,3.825039033881022,18.321872956683016,0.585727,396.2730000000002,410.3850000000002,410.090271548,87.37,150.0,-0.22442298309855904,-0.5330237554115582,-0.3879027770048734,-0.8255415172552067,0.36261102343179036,219078843647028.9,8231.88440395244,1501.4564160009388,1186.4601770393326,545.1344469415345,0.55477,0.18772,0.09594,0.62208,0.2811,0.23803
6,Poly_b105dd7b,USR_0175,*c1cc(F)c(-n2c(=O)c3ccc4c(c3)c(=O)c3ccc(cc3-4)c(=O)n(*)c2=O)c(OC)c1S(N)(=O)=O,False,False,453.7550343605328,3.5724847623799074,16.820176884101674,0.583619,481.3320000000003,493.42800000000034,493.037998944,147.53,174.0,-0.8262667122669478,-0.35295011595169434,-0.17817689826581384,-0.37094883453926575,0.31541129710949056,246275203923847.6,8288.488334452288,1804.8634864445164,1183.8387989303014,490.7446785193564,0.59003,0.219,0.13569,0.58689,0.3415,0.35361
7,Poly_b105dd7b,USR_0126,*c1ccc(-n2c(=O)c3cc4c(cc3F)-c3cc(ccc3c4=O)c(=O)n(*)c2=O)c(CC)c1,False,False,487.3968138952189,4.259007437901997,20.10268564969793,0.58283,399.27200000000016,412.37600000000026,412.085935116,78.14,150.0,-0.099476262013596,-0.46684539384691176,0.040725803539576506,-0.00535116525846685,0.11975346463383624,268517057596703.4,7660.986741510761,1391.4153104745399,1321.9787833072978,730.1615748229664,0.57748,0.1203,0.08676,0.67775,0.27518,0.21612
8,Poly_b105dd7b,USR_0098,*c1ccc(-n2c(=O)c3ccc4c(c3)c(=O)c3c(N)cc(cc3-4)c(=O)n(*)c2=O)cc1F,False,False,452.13584595657,3.7010026853209763,17.396381916501692,0.582652,389.2570000000001,399.33700000000016,399.06553402,104.16,144.0,-0.27341831430666913,-0.49157141317127434,0.7648283898851271,-0.7285471074119412,0.30845798947866765,194547939769399.28,7693.534603101083,1267.150197922792,1122.7835005879813,640.1786225058523,0.53993,0.13072,0.08352,0.58712,0.24184,0.25839
9,Poly_b105dd7b,USR_0228,*c1ccc(-n2c(=O)c3c(F)c(F)c4c(c3S(N)(=O)=O)c(=O)c3ccc(cc3-4)c(=O)n(*)c2=O)cc1,False,False,460.92044586641674,3.7096830941711287,17.381573678566117,0.582287,472.32000000000033,481.3920000000002,481.0180124479999,138.29999999999998,168.0,-0.19683048401450814,-0.5857280319902842,0.14479215152090819,-0.06593840482908625,0.48527852279278605,230642112334598.7,8248.21100151357,2132.0723078927363,1169.3055398187169,439.6494955179752,0.57627,0.17292,0.07627,0.61005,0.2871,0.29674
10,Poly_b105dd7b,USR_0091,*c1ccc(-n2c(=O)c3cc4c(cc3F)-c3cc(ccc3c4=O)c(=O)n(*)c2=O)c(Cl)c1,False,False,520.4584634452775,4.25297198473137,19.91897482443285,0.581397,410.70300000000015,418.76700000000017,418.01566263599994,78.14,144.0,-0.5261553321548672,-0.2883916155847731,0.4270490128942799,0.282904445084863,-0.04435564315639867,204456418121057.84,8727.496358458677,1621.6829436677792,1089.3388541508132,564.1286176571178,0.62112,0.11488,0.10113,0.62287,0.33024,0.22689
