ExactMolWt,MolWt,HeavyAtomMolWt,LabuteASA,NumValenceElectrons,MolMR,TPSA,NumHeavyAtoms,SMR_VSA1,Kappa1,SlogP_VSA2,PEOE_VSA4,PEOE_VSA2,SlogP_VSA1,Kappa2,polyBERT_dim_24,polyBERT_dim_21,polyBERT_dim_28,polyBERT_dim_02,polyBERT_dim_03,polyBERT_dim_09,polyBERT_dim_35,polyBERT_dim_31,polyBERT_dim_06,polyBERT_dim_20,TieChainsPerArea,EntanglementMolWt,ZAverageMolWt,NumberAverageDPn,Mw_kDa,ViscosityAverageMolWt,Mn_kDa,ElongationBreak_pct,TensileStrength_MPa,CurieWeissConstant,CrystalThickness_nm,DielectricPolarizability,SpheruliteRadius_um,LamellaeThickness_nm,ElectronicPolarizability,morgan_fp_00,morgan_fp_01,morgan_fp_02,morgan_fp_03,morgan_fp_04,Tg_degC,Dk_1GHz
463.742019,456.734508,450.231969,207.050264,177.223802,147.122000,52.644459,36.467347,18.770356,21.674886,11.823491,-0.000352,9.420879,9.383988,10.525403,1.228189,0.562091,0.796508,0.122733,0.600019,0.651971,0.161573,0.158334,1.039466,0.801304,196630112399650.531250,7894.237326,153.122586,197.135614,81.508400,69.954150,56.370307,32.986052,205.398722,185.036295,20.882478,26.727946,9.449556,14.256033,16.873550,1,1,1,0,0,191.702179,3.270829
472.448312,465.371951,442.097411,208.393579,173.772815,139.090250,53.474065,36.580432,19.206051,23.970790,11.640278,-0.008632,9.620815,9.472092,10.498602,0.378367,1.112473,0.253390,0.682927,0.233657,0.265531,0.128689,0.630284,0.781844,0.007537,243456593230470.531250,7478.347658,95.478824,201.891424,92.058709,61.697931,56.058771,31.070369,212.316272,162.820540,20.412436,20.702870,8.722705,15.009289,19.487332,1,1,1,0,0,184.587148,2.860537
470.756312,472.599658,434.298305,215.401845,172.776975,142.667801,52.687190,36.610499,19.837134,22.634264,11.986199,0.001565,9.928586,9.468535,10.819275,0.310920,0.728003,0.384586,0.661096,-0.101745,0.845377,0.266313,0.052686,0.734191,-0.480745,193159877979880.937500,7926.141767,154.267811,219.511185,99.603524,94.555623,49.182247,30.305255,198.429169,190.653284,26.542123,25.285041,10.319770,14.450392,18.841689,1,1,1,0,0,180.417717,3.213580
469.968735,480.943189,466.321160,204.333507,169.442748,137.677619,52.110212,35.855605,19.147429,22.497204,11.190127,0.008764,9.396377,9.675372,10.254973,0.752538,0.334025,0.787048,0.166440,0.215197,1.150293,0.530377,-0.307366,1.435672,0.240471,216495229660275.187500,7261.428490,162.263618,261.235929,114.954451,69.927029,47.869722,31.017220,184.026984,180.417150,25.207151,30.108274,8.757745,15.936184,19.568093,1,1,1,0,0,207.688730,3.587920
475.525866,472.841155,445.447468,211.397832,177.240019,138.768344,53.989349,34.716892,19.190426,22.939821,11.821845,0.000863,9.651289,9.381880,10.393072,0.658994,0.550015,0.229638,0.953299,0.402938,0.665775,0.571939,-0.032784,0.917461,-0.019209,233379764525513.812500,7921.353175,155.724802,150.263518,106.744619,93.829795,37.969052,32.180069,186.620598,191.581008,14.831829,19.460251,8.927940,18.969472,22.948467,1,1,1,0,0,192.705650,2.981701
486.294561,466.008086,435.199466,203.821434,170.854216,140.961771,51.240511,36.366334,19.530909,22.472369,11.822974,0.010965,9.725995,9.560153,10.386216,0.982511,0.641555,0.566045,0.447310,0.272435,0.978065,0.110804,0.183468,1.084655,0.581485,226224586751283.375000,9383.832073,172.484269,108.401984,118.366152,96.199402,34.802156,30.372098,252.597171,183.398208,26.220661,32.089860,8.357540,14.856084,20.291138,1,1,1,0,0,215.251672,3.781585
486.745875,476.302952,444.808058,209.877100,175.373009,135.431993,51.390205,35.853556,19.349034,23.124931,11.614413,0.008269,9.721527,9.400920,10.779781,0.696342,0.914870,0.300890,0.763953,0.950684,0.782515,0.524400,0.664708,0.593769,0.254078,186688611765722.031250,8186.375246,179.915234,273.003633,94.314318,79.028902,54.611346,29.708725,130.090529,179.447539,19.114573,21.788397,7.983358,14.639815,19.115743,1,1,1,0,0,157.274601,2.870222
469.567912,481.151106,452.255142,211.466767,174.398877,141.533541,52.443541,37.046510,18.988770,22.161970,11.884987,-0.013034,9.853071,9.185976,10.905881,1.076593,0.688337,0.625007,0.703203,0.705378,0.702978,-0.285239,-0.296081,0.663322,0.234224,200855199352834.625000,7412.695475,167.272843,265.850435,121.222879,88.249329,40.691626,27.258716,188.136765,155.531634,17.851630,18.708533,10.245970,14.551278,18.176163,1,1,1,0,0,197.196339,3.058842
475.864437,479.729867,440.771354,215.530918,171.832940,136.181422,50.893459,35.874140,18.266124,22.295652,11.343669,0.009719,9.566367,9.473520,10.529095,0.751023,0.391321,0.878375,1.218254,0.519602,0.549168,0.416055,0.218988,0.543250,0.053758,166884436477737.437500,9314.309385,150.207875,236.982077,111.153453,103.920801,34.663774,36.508947,195.090838,162.309250,20.894104,29.746502,9.461714,17.421797,19.405343,1,1,1,0,0,207.246104,3.592587
464.057886,490.074562,452.029781,205.405300,172.136544,139.677451,50.917199,34.492780,18.836194,22.781841,11.136849,0.021476,9.519276,9.633756,10.585926,0.512773,0.422675,1.081731,0.411924,0.728433,0.999160,0.165429,0.598098,0.710108,0.319447,220316834528364.781250,8459.157413,99.011126,208.164279,111.777661,80.673879,49.457942,33.307794,195.744408,177.018089,23.662266,28.695933,10.597701,16.830415,21.977874,1,1,1,0,0,178.535168,3.458378
