ExactMolWt,MolWt,HeavyAtomMolWt,LabuteASA,NumValenceElectrons,MolMR,TPSA,NumHeavyAtoms,SMR_VSA1,Kappa1,SlogP_VSA2,PEOE_VSA4,PEOE_VSA2,SlogP_VSA1,Kappa2,polyBERT_dim_24,polyBERT_dim_21,polyBERT_dim_28,polyBERT_dim_02,polyBERT_dim_03,polyBERT_dim_09,polyBERT_dim_35,polyBERT_dim_31,polyBERT_dim_06,polyBERT_dim_20,TieChainsPerArea,EntanglementMolWt,ZAverageMolWt,NumberAverageDPn,Mw_kDa,ViscosityAverageMolWt,Mn_kDa,ElongationBreak_pct,TensileStrength_MPa,CurieWeissConstant,CrystalThickness_nm,DielectricPolarizability,SpheruliteRadius_um,LamellaeThickness_nm,ElectronicPolarizability,morgan_fp_00,morgan_fp_01,morgan_fp_02,morgan_fp_03,morgan_fp_04,Tg_degC,Dk_1GHz
129.836481,138.349775,136.723338,40.630020,50.346993,12.508642,0.007745,7.762370,26.523902,7.548834,12.748522,26.440808,0.012058,0.005186,1.474016,0.128194,0.230391,-0.026904,-0.595531,-0.502787,-0.452539,0.455859,0.281167,-0.633793,-0.706490,270925739777819.062500,10886.724011,7075.713890,5805.275526,3406.956746,2121.192240,535.646157,272.109569,44.152386,8.207483,30.225785,13.890162,31.469473,29.083033,13.851242,0,0,0,0,0,-87.560792,1.934701
135.169987,136.692283,143.796990,39.024829,49.009347,12.066710,-0.016084,8.318887,26.749457,7.584013,12.424234,26.402640,0.010448,0.012363,1.545521,0.022085,0.115178,0.113683,-0.320563,-0.993200,-0.605929,1.081591,0.511439,-0.560671,-0.607459,324686526092368.437500,13376.699014,8928.388464,4897.728009,2906.468952,2807.609362,470.365913,384.833349,32.817301,-1.033675,35.584076,13.196369,28.673505,22.729833,12.498299,0,0,0,0,0,-88.847632,1.985562
134.698524,141.219827,138.080640,39.924896,51.254074,12.314776,0.004467,7.918282,27.215285,7.558162,12.220117,26.107172,0.012737,0.002413,1.534770,0.074298,0.370321,0.107396,-0.612396,-0.934143,-0.431847,0.301466,0.298539,-0.659213,-0.489831,276691809108090.531250,12350.594483,7994.143821,5277.372745,3019.311711,2607.661765,433.702090,368.707570,27.684426,8.486789,31.472024,12.033852,28.862472,28.876430,12.910925,0,0,0,0,0,-75.649933,2.217254
142.274184,135.871323,134.368519,41.035444,47.592953,12.041955,-0.011291,8.008903,26.791733,7.692912,12.786848,26.166822,-0.006766,-0.007754,1.598968,-0.060169,-0.125781,0.312063,-0.493916,-0.521953,-1.030136,0.352402,0.360170,-0.651191,-0.566854,365140868383005.000000,14665.427591,6758.900254,4672.047885,4046.289553,3105.556624,602.722738,251.924174,32.266246,-0.063054,30.997010,14.354200,33.040383,33.258681,9.664338,0,0,0,0,0,-76.764028,2.216849
138.820764,135.037006,139.749324,40.722958,50.312234,12.422324,-0.005941,8.021986,25.528124,7.356365,12.233145,26.864925,-0.001498,0.010485,1.538258,0.232669,0.414355,0.072479,-0.417068,-0.592780,-0.748779,0.402484,0.633134,-0.550341,-0.411173,320850798684353.250000,11623.366787,7167.971722,4248.627206,2097.337252,3394.247164,410.772896,352.703941,27.746193,-7.466957,33.342709,13.685914,35.822485,21.123979,13.369319,0,0,0,0,0,-71.810720,2.261478
139.357781,142.889637,139.107419,40.586231,49.851479,12.134368,-0.012154,8.131793,25.741864,7.639034,12.332104,26.335655,-0.002187,-0.007426,1.469115,0.042513,0.615161,-0.059593,-0.518970,-0.657173,-0.737625,0.273302,0.408835,-0.413335,-0.392656,339854090235111.750000,11743.922256,6975.763191,5880.982906,3535.134553,3164.677766,512.643604,294.204825,34.252290,-2.904902,36.511211,12.829177,31.347741,18.397597,12.361588,0,0,0,0,0,-110.538708,1.839909
141.564607,140.260354,136.643937,40.189972,49.037259,12.014452,0.009898,7.883197,25.605642,7.639968,12.217796,26.053036,-0.009343,-0.003606,1.512745,0.428319,0.081599,0.215233,-0.509428,-0.599971,-0.291381,0.367249,0.680714,-0.536969,-0.398984,308450074450276.125000,10558.259526,10620.854574,5369.683343,3091.153505,2893.312029,431.774542,325.288912,17.516027,1.906710,31.215667,13.359858,35.952036,27.174811,12.633680,0,0,0,0,0,-79.451722,2.084199
139.268202,135.554263,139.009734,39.034021,49.529370,12.083411,0.018016,8.199851,26.015769,7.553033,11.984449,26.453514,-0.007892,0.022341,1.531434,0.043171,0.623469,0.096678,-1.027343,-0.495585,-0.500995,0.491644,0.348135,-0.391715,-0.885558,359525442756933.437500,13804.364954,6559.420692,4749.791991,2695.028438,2364.648577,479.134974,346.404904,36.400451,-2.622199,24.158891,12.163370,38.007606,21.715040,11.839841,0,0,0,0,0,-83.963325,2.319143
141.755163,135.271020,135.054853,39.934782,48.901603,11.974516,0.012445,8.248946,26.235994,7.550412,12.403089,25.078451,0.017951,0.000536,1.529799,0.088901,0.145118,0.229050,-0.838248,-0.465175,-0.325560,0.728079,0.302006,-0.257152,-0.818353,423243933400504.250000,14619.944234,8701.006201,3988.887937,3315.747026,2806.329833,547.605748,298.346290,30.163585,1.039267,31.007760,11.110210,26.811864,21.922218,11.177176,0,0,0,0,0,-84.965581,2.150119
138.718771,138.796024,137.663072,40.606410,50.775969,12.298401,-0.007087,8.083259,26.621015,7.663559,12.101251,26.686261,0.006941,0.002743,1.469018,0.359828,0.069991,0.459797,-0.796610,-0.522934,-0.295036,0.831411,0.416938,-0.488955,-0.621658,373438647601152.562500,12666.518731,10148.696705,4925.815655,2677.271977,3036.059550,484.491332,318.214374,30.062951,0.465275,30.034553,12.638401,36.726691,29.595077,12.070078,0,0,0,0,0,-82.660475,2.081447
